mapping,target,recordings,n_sonications,cum_2nd_harmonic,bursts_x_goal,interlock_fired,TRITC_mean,TRITC_min,TRITC_max,FITC_mean,FITC_min,FITC_max
deck,1,Target1 + Target2 + Target3,3,2.4413,305.25,False,0.8204,0.662,0.896,0.4142,0.2273,0.5314
deck,2,Target2_Repeat,1,1.1015,63.0,False,0.6457,0.5854,0.7676,0.3645,0.2691,0.4563
deck,3,none (no FUS),0,0.0,0.0,False,0.0208,0.0061,0.0495,0.0007,0.0001,0.0012
deck,4,Target4,1,1.3457,99.75,True,0.5164,0.4765,0.6027,0.2559,0.1532,0.4508
deck,5,Target5,1,0.9466,63.75,False,0.308,0.0025,0.4199,0.2999,0.2681,0.3218
deck,6,Target6,1,1.3164,140.25,False,0.1888,0.0001,0.5704,0.6596,0.1676,0.8386
spreadsheet,1,Target1 + Target2 + Target6,3,2.8283,305.25,False,0.8204,0.662,0.896,0.4142,0.2273,0.5314
spreadsheet,2,Target2_Repeat,1,1.1015,63.0,False,0.6457,0.5854,0.7676,0.3645,0.2691,0.4563
spreadsheet,3,none (no FUS),0,0.0,0.0,False,0.0208,0.0061,0.0495,0.0007,0.0001,0.0012
spreadsheet,4,Target3,1,0.9293,140.25,False,0.5164,0.4765,0.6027,0.2559,0.1532,0.4508
spreadsheet,5,Target4,1,1.3457,99.75,True,0.308,0.0025,0.4199,0.2999,0.2681,0.3218
spreadsheet,6,Target5,1,0.9466,63.75,False,0.1888,0.0001,0.5704,0.6596,0.1676,0.8386
