section,slot,row,col,radius_px,tissue_fraction,loo_shift_mm,fit_angle_deg,fit_scale,channel,noise_sd,threshold_k,coverage,coverage_k-1,coverage_k+1,mean_residual,angle_flag
section_s2,1,4377.8,1870.2,504.0,1.0,0.083,107.2,0.874,FITC,138.7,5.0,0.3972372339252233,0.4312592117268416,0.36754664768340733,1232.972900390625,False
section_s2,1,4377.8,1870.2,504.0,1.0,0.083,107.2,0.874,TRITC,379.6,5.0,0.6619772501679417,0.7004559491462546,0.6303390416796174,5468.18310546875,False
section_s2,2,6209.3,2533.0,525.9,1.0,0.266,109.7,0.912,FITC,138.7,5.0,0.2690713878835653,0.32082602116262077,0.2293549370817678,745.7969970703125,False
section_s2,2,6209.3,2533.0,525.9,1.0,0.266,109.7,0.912,TRITC,379.6,5.0,0.5854094144317796,0.6553910596845746,0.5301460899785382,3812.57861328125,False
section_s2,3,4926.1,3470.1,514.6,1.0,0.016,107.2,0.892,FITC,138.7,5.0,0.0010050674152575485,0.0014535006041224595,0.0007201380164345353,21.794506072998047,False
section_s2,3,4926.1,3470.1,514.6,1.0,0.016,107.2,0.892,TRITC,379.6,5.0,0.04948153669517964,0.0683602132762673,0.03944048041260662,420.5164489746094,False
section_s2,4,2588.2,2381.1,505.8,1.0,0.184,106.1,0.877,FITC,138.7,5.0,0.1869191328371954,0.22837693207556561,0.1548385892426015,406.08251953125,False
section_s2,4,2588.2,2381.1,505.8,1.0,0.184,106.1,0.877,TRITC,379.6,5.0,0.47653632675411306,0.5212397640441049,0.42487617293476365,3302.40478515625,False
section_s2,5,1519.3,4286.3,535.8,1.0,0.184,108.5,0.929,FITC,138.7,5.0,0.2681486145956091,0.29257514597937273,0.2470757008506548,552.4229736328125,False
section_s2,5,1519.3,4286.3,535.8,1.0,0.184,108.5,0.929,TRITC,379.6,5.0,0.41130097083073264,0.4449103170582177,0.3828212737982131,3089.87353515625,False
section_s2,6,2901.6,4063.6,510.8,1.0,0.084,107.0,0.885,FITC,138.7,5.0,0.1675591196741052,0.19353114923302722,0.1454960708887075,312.4363098144531,False
section_s2,6,2901.6,4063.6,510.8,1.0,0.084,107.0,0.885,TRITC,379.6,5.0,0.5703952047883795,0.6519079461868527,0.4927548432198582,3896.6826171875,False
section_s3,1,4919.8,1510.5,403.8,0.003,0.0,216.7,0.7,FITC,195.1,5.0,0.0,0.0,0.0,298.4100341796875,True
section_s3,1,4919.8,1510.5,403.8,0.003,0.0,216.7,0.7,TRITC,476.8,5.0,0.0,0.0,0.0,-682.3084716796875,True
section_s3,2,3757.6,-424.4,529.5,1.0,1.881,226.7,0.918,FITC,195.1,5.0,0.3669545773412838,0.4764775517362329,0.2805156085584006,916.349853515625,True
section_s3,2,3757.6,-424.4,529.5,1.0,1.881,226.7,0.918,TRITC,476.8,5.0,0.04154244124868467,0.0726937916520519,0.023785513854787794,168.24168395996094,True
section_s3,3,6010.6,706.1,403.8,1.0,0.015,216.7,0.7,FITC,195.1,5.0,0.0030994679376827377,0.004627732040457035,0.0020513481124084117,-110.87336730957031,True
section_s3,3,6010.6,706.1,403.8,1.0,0.015,216.7,0.7,TRITC,476.8,5.0,0.022108106631065726,0.02803378966557756,0.01773410937140136,-149.9311981201172,True
section_s3,4,5885.3,2805.6,403.8,0.024,0.0,216.7,0.7,FITC,195.1,5.0,0.0,0.0,0.0,270.6527099609375,True
section_s3,4,5885.3,2805.6,403.8,0.024,0.0,216.7,0.7,TRITC,476.8,5.0,0.0,0.0,0.0,-333.1966552734375,True
section_s3,5,7722.9,4339.7,535.3,0.417,1.762,209.8,0.928,FITC,195.1,5.0,8.514442623299772e-05,0.00015432427254730838,3.9911449796717685e-05,-114.7191390991211,True
section_s3,5,7722.9,4339.7,535.3,0.417,1.762,209.8,0.928,TRITC,476.8,5.0,0.004850571531961089,0.008251027054641435,0.0028230698822878306,-58.09674072265625,True
section_s3,6,6945.5,2004.3,403.8,1.0,0.025,216.6,0.7,FITC,195.1,5.0,0.0008997720317281869,0.0026837018299918805,0.00024982824308288055,-34.86362838745117,True
section_s3,6,6945.5,2004.3,403.8,1.0,0.025,216.6,0.7,TRITC,476.8,5.0,0.027391324714258945,0.04708872025482481,0.016773624383236523,330.9675598144531,True
section_s4,1,5491.5,1193.4,477.5,0.989,0.029,91.0,0.828,FITC,127.7,5.0,0.5009350727804195,0.5634049916655023,0.44657664562223626,1193.4476318359375,False
